Comunidades y Ciudades Autónomas;Tipo de equipamiento;Total
Cataluña;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;85,6
Cataluña;Ordenadores de sobremesa o portátil (no incluye tablet);80,9
Cataluña;Ordenadores tipo Tablet;57,1
Cataluña;Viviendas que disponen de acceso a Internet;97,4
Cataluña;Viviendas con conexión de Banda Ancha;97,4
Cataluña;Viviendas con conexión de banda ancha fija;86,3
Cataluña;Viviendas con conexión solo a través de  banda ancha  móvil;11,1
Cataluña;Viviendas con  teléfono fijo;68
Cataluña;Viviendas con  teléfono móvil;99,8
Comunitat Valenciana;Total Viviendas;1.821.004
Comunitat Valenciana;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;82,8
Comunitat Valenciana;Ordenadores de sobremesa o portátil (no incluye tablet);78,9
Comunitat Valenciana;Ordenadores tipo Tablet;55,7
Comunitat Valenciana;Viviendas que disponen de acceso a Internet;96,3
Comunitat Valenciana;Viviendas con conexión de Banda Ancha;96,3
Comunitat Valenciana;Viviendas con conexión de banda ancha fija;82,4
Comunitat Valenciana;Viviendas con conexión solo a través de  banda ancha  móvil;13,9
Comunitat Valenciana;Viviendas con  teléfono fijo;48,7
Comunitat Valenciana;Viviendas con  teléfono móvil;99,4
Extremadura;Total Viviendas;384.791
Extremadura;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;76,3
Extremadura;Ordenadores de sobremesa o portátil (no incluye tablet);70,6
Extremadura;Ordenadores tipo Tablet;50,3
Extremadura;Viviendas que disponen de acceso a Internet;94,6
Extremadura;Viviendas con conexión de Banda Ancha;94,6
Extremadura;Viviendas con conexión de banda ancha fija;73
Extremadura;Viviendas con conexión solo a través de  banda ancha  móvil;21,6
Extremadura;Viviendas con  teléfono fijo;50
Extremadura;Viviendas con  teléfono móvil;99,9
Galicia;Total Viviendas;982.775
Galicia;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;79
Galicia;Ordenadores de sobremesa o portátil (no incluye tablet);74,9
Galicia;Ordenadores tipo Tablet;51,1
Galicia;Viviendas que disponen de acceso a Internet;93,4
