Clase de población;Comunidades y Ciudades Autónomas;Frecuencia de uso;Total
Usuarios de Internet en los últimos 3 meses (75 y más años);Andalucía;Han utilizado internet varias veces al día;54,4
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Total;45.091
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Han utilizado internet semanalmente (al menos una vez a la semana);87,5
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Han usado Internet diariamente (al menos 5 días a la semana);72,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Aragón;Han utilizado internet varias veces al día;60,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Total;39.056
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Han utilizado internet semanalmente (al menos una vez a la semana);90,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Han usado Internet diariamente (al menos 5 días a la semana);68,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Asturias, Principado de;Han utilizado internet varias veces al día;65,4
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Total;39.725
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Han utilizado internet semanalmente (al menos una vez a la semana);99
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Han usado Internet diariamente (al menos 5 días a la semana);79,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Balears, Illes;Han utilizado internet varias veces al día;70,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Total;68.528
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Han utilizado internet semanalmente (al menos una vez a la semana);81,5
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Han usado Internet diariamente (al menos 5 días a la semana);74,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Canarias;Han utilizado internet varias veces al día;63,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Total;21.229
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Han utilizado internet semanalmente (al menos una vez a la semana);97,1
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Han usado Internet diariamente (al menos 5 días a la semana);75,5
Usuarios de Internet en los últimos 3 meses (75 y más años);Cantabria;Han utilizado internet varias veces al día;64
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Total;83.576
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Han utilizado internet semanalmente (al menos una vez a la semana);89,1
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Han usado Internet diariamente (al menos 5 días a la semana);71,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla y León;Han utilizado internet varias veces al día;61,5
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Total;33.564
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Han utilizado internet semanalmente (al menos una vez a la semana);79,8
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Han usado Internet diariamente (al menos 5 días a la semana);64,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Castilla-La Mancha;Han utilizado internet varias veces al día;64,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Total;291.094
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Han utilizado internet semanalmente (al menos una vez a la semana);93,3
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Han usado Internet diariamente (al menos 5 días a la semana);63,7
Usuarios de Internet en los últimos 3 meses (75 y más años);Cataluña;Han utilizado internet varias veces al día;53,1
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Total;126.977
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Han utilizado internet semanalmente (al menos una vez a la semana);83,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Han usado Internet diariamente (al menos 5 días a la semana);58,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Comunitat Valenciana;Han utilizado internet varias veces al día;46
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Total;34.711
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Han utilizado internet semanalmente (al menos una vez a la semana);85,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Han usado Internet diariamente (al menos 5 días a la semana);65,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Extremadura;Han utilizado internet varias veces al día;60,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Total;113.737
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Han utilizado internet semanalmente (al menos una vez a la semana);91,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Han usado Internet diariamente (al menos 5 días a la semana);62,9
Usuarios de Internet en los últimos 3 meses (75 y más años);Galicia;Han utilizado internet varias veces al día;59,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Total;244.681
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Han utilizado internet semanalmente (al menos una vez a la semana);95
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Han usado Internet diariamente (al menos 5 días a la semana);71,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Madrid, Comunidad de;Han utilizado internet varias veces al día;69,1
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Total;39.751
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Han utilizado internet semanalmente (al menos una vez a la semana);89,5
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Han usado Internet diariamente (al menos 5 días a la semana);70,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Murcia, Región de;Han utilizado internet varias veces al día;40,3
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Total;17.136
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Han utilizado internet semanalmente (al menos una vez a la semana);84,4
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Han usado Internet diariamente (al menos 5 días a la semana);61,8
Usuarios de Internet en los últimos 3 meses (75 y más años);Navarra, Comunidad Foral de;Han utilizado internet varias veces al día;60
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Total;99.330
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Han utilizado internet semanalmente (al menos una vez a la semana);86,7
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Han usado Internet diariamente (al menos 5 días a la semana);63,2
Usuarios de Internet en los últimos 3 meses (75 y más años);País Vasco;Han utilizado internet varias veces al día;55,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Total;8.761
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Han utilizado internet semanalmente (al menos una vez a la semana);77
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Han usado Internet diariamente (al menos 5 días a la semana);52,6
Usuarios de Internet en los últimos 3 meses (75 y más años);Rioja, La;Han utilizado internet varias veces al día;46,2
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Total;2.482
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Han utilizado internet semanalmente (al menos una vez a la semana);100
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Han usado Internet diariamente (al menos 5 días a la semana);73,8
Usuarios de Internet en los últimos 3 meses (75 y más años);Ceuta;Han utilizado internet varias veces al día;73,8
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Total;528
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Han utilizado internet semanalmente (al menos una vez a la semana);100
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Han usado Internet diariamente (al menos 5 días a la semana);100
Usuarios de Internet en los últimos 3 meses (75 y más años);Melilla;Han utilizado internet varias veces al día;100
